id,added_at,album_type,artist,name,personal_type,popularity,release_date,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0oatOE2MQVTzLA1ExpT0Cl,2018-09-14T00:10:06Z,single,Mikey Dam,Sonder,favourite,21,2018-09-14,0.501,https://api.spotify.com/v1/audio-analysis/0oatOE2MQVTzLA1ExpT0Cl,0.535,216000,0.764,0.0,0,0.12,-5.072,1,0.0986,89.989,4,https://api.spotify.com/v1/tracks/0oatOE2MQVTzLA1ExpT0Cl,audio_features,spotify:track:0oatOE2MQVTzLA1ExpT0Cl,0.244
5FUlm1KaB15evWbYRYbZ05,2018-09-14T00:10:06Z,single,G Flip,Killing My Time,favourite,65,2018-05-16,0.442,https://api.spotify.com/v1/audio-analysis/5FUlm1KaB15evWbYRYbZ05,0.838,217148,0.609,1.99e-06,8,0.0742,-5.865,1,0.0446,102.988,4,https://api.spotify.com/v1/tracks/5FUlm1KaB15evWbYRYbZ05,audio_features,spotify:track:5FUlm1KaB15evWbYRYbZ05,0.609
11r8xMuVTS66RjtYgLneRw,2018-09-14T00:10:06Z,single,Maggie Rogers,Fallingwater,favourite,69,2018-05-23,0.613,https://api.spotify.com/v1/audio-analysis/11r8xMuVTS66RjtYgLneRw,0.388,270095,0.322,0.000534,2,0.0887,-8.933,1,0.0356,86.739,4,https://api.spotify.com/v1/tracks/11r8xMuVTS66RjtYgLneRw,audio_features,spotify:track:11r8xMuVTS66RjtYgLneRw,0.454
3UkRLj9msdZcokt6IhGAPr,2018-09-14T00:10:06Z,single,Drax Project,NOON,favourite,54,2018-06-08,0.146,https://api.spotify.com/v1/audio-analysis/3UkRLj9msdZcokt6IhGAPr,0.749,157424,0.732,0.0,6,0.0967,-6.538,0,0.0472,124.995,4,https://api.spotify.com/v1/tracks/3UkRLj9msdZcokt6IhGAPr,audio_features,spotify:track:3UkRLj9msdZcokt6IhGAPr,0.92
4UAW2gObi5o6sJla0qZpPn,2018-09-14T00:10:06Z,single,Lana Del Rey,Mariners Apartment Complex,favourite,66,2018-09-12,0.795,https://api.spotify.com/v1/audio-analysis/4UAW2gObi5o6sJla0qZpPn,0.528,246421,0.284,0.000303,9,0.109,-11.487,1,0.0287,76.012,4,https://api.spotify.com/v1/tracks/4UAW2gObi5o6sJla0qZpPn,audio_features,spotify:track:4UAW2gObi5o6sJla0qZpPn,0.172
2qXicQG06oT0ijKBznpgQv,2018-09-14T00:10:06Z,single,Ruel,Younger,favourite,73,2018-06-05,0.202,https://api.spotify.com/v1/audio-analysis/2qXicQG06oT0ijKBznpgQv,0.745,222320,0.477,0.0,11,0.12,-7.706,0,0.088,136.055,4,https://api.spotify.com/v1/tracks/2qXicQG06oT0ijKBznpgQv,audio_features,spotify:track:2qXicQG06oT0ijKBznpgQv,0.454
3bH4HzoZZFq8UpZmI2AMgV,2018-09-14T00:10:06Z,single,John Mayer,New Light,favourite,83,2018-05-10,0.325,https://api.spotify.com/v1/audio-analysis/3bH4HzoZZFq8UpZmI2AMgV,0.828,216015,0.689,0.0384,7,0.0808,-7.878,1,0.0326,123.931,4,https://api.spotify.com/v1/tracks/3bH4HzoZZFq8UpZmI2AMgV,audio_features,spotify:track:3bH4HzoZZFq8UpZmI2AMgV,0.853
5qnqVH96GFq3Qo71lEkFT5,2018-09-14T00:10:06Z,album,Vance Joy,Nation of Two,favourite,64,2018-02-23,0.497,https://api.spotify.com/v1/audio-analysis/5qnqVH96GFq3Qo71lEkFT5,0.628,214747,0.869,0.0,8,0.169,-4.339,1,0.0489,99.97,4,https://api.spotify.com/v1/tracks/5qnqVH96GFq3Qo71lEkFT5,audio_features,spotify:track:5qnqVH96GFq3Qo71lEkFT5,0.701
6RCp9hJWSExTOzNHrN1hSZ,2018-09-14T00:10:06Z,single,Conrad Sewell,Ghosts & Heartaches,favourite,72,2018-05-18,0.127,https://api.spotify.com/v1/audio-analysis/6RCp9hJWSExTOzNHrN1hSZ,0.672,250821,0.764,0.0,0,0.0735,-5.067,1,0.0678,105.004,4,https://api.spotify.com/v1/tracks/6RCp9hJWSExTOzNHrN1hSZ,audio_features,spotify:track:6RCp9hJWSExTOzNHrN1hSZ,0.438
45Egmo7icyopuzJN0oMEdk,2018-09-14T00:10:06Z,single,Khalid,Love Lies (with Normani),favourite,87,2018-02-14,0.0956,https://api.spotify.com/v1/audio-analysis/45Egmo7icyopuzJN0oMEdk,0.708,201707,0.648,0.0,6,0.134,-5.626,1,0.0449,143.955,4,https://api.spotify.com/v1/tracks/45Egmo7icyopuzJN0oMEdk,audio_features,spotify:track:45Egmo7icyopuzJN0oMEdk,0.338
5hH7Rb0DVsOStke6eGS9Sr,2018-09-14T00:10:06Z,single,Mitch James,21,favourite,64,2018-05-18,0.414,https://api.spotify.com/v1/audio-analysis/5hH7Rb0DVsOStke6eGS9Sr,0.666,201181,0.389,0.0,7,0.102,-7.36,1,0.0306,92.138,4,https://api.spotify.com/v1/tracks/5hH7Rb0DVsOStke6eGS9Sr,audio_features,spotify:track:5hH7Rb0DVsOStke6eGS9Sr,0.418
026IC4Vj88QjLlnIPDExhz,2018-09-14T00:10:06Z,single,Noah Kahan,Hurt Somebody,favourite,52,2018-02-02,0.361,https://api.spotify.com/v1/audio-analysis/026IC4Vj88QjLlnIPDExhz,0.83,168640,0.557,0.0,1,0.249,-5.146,1,0.118,114.966,4,https://api.spotify.com/v1/tracks/026IC4Vj88QjLlnIPDExhz,audio_features,spotify:track:026IC4Vj88QjLlnIPDExhz,0.492
